State,Date,Income,Factored Mean Income
United States,2018,63179,1.0
Alabama,2018,49936,0.790389211605122
Alaska,2018,68734,1.087924785134301
Arizona,2018,62283,0.985818072460786
Arkansas,2018,49781,0.787935864765191
California,2018,70489,1.1157030025799712
Colorado,2018,73034,1.155985374887225
Connecticut,2018,72812,1.152471549090679
Delaware,2018,65012,1.0290128048877
D.C.,2018,85750,1.3572547840263378
Florida,2018,54644,0.8649076433625097
Georgia,2018,55821,0.8835372513018567
Hawaii,2018,80108,1.2679529590528498
Idaho,2018,58728,0.9295493755836591
Illinois,2018,70145,1.1102581553997373
Indiana,2018,59892,0.9479732189493344
Iowa,2018,68718,1.0876715364282437
Kansas,2018,63938,1.0120134854935976
Kentucky,2018,54555,0.8634989474350655
Louisiana,2018,49973,0.7909748492378796
Maine,2018,58663,0.928520552715301
Maryland,2018,86223,1.3647414488991596
Massachusetts,2018,86345,1.3666724702828472
Michigan,2018,60449,0.9567894395289575
Minnesota,2018,71817,1.1367226451827348
Mississippi,2018,42781,0.6771395558650818
Missouri,2018,61726,0.9770018518811631
Montana,2018,57679,0.9129457572927714
Nebraska,2018,67575,1.0695800819892687
Nevada,2018,61864,0.979186121970908
New Hampshire,2018,81346,1.2875480776840407
New Jersey,2018,74176,1.1740610012820716
New Mexico,2018,48283,0.7642254546605676
New York,2018,67274,1.064815840706564
North Carolina,2018,53369,0.8447268870985613
North Dakota,2018,66505,1.0526440747716805
Ohio,2018,61633,0.9755298437772044
Oklahoma,2018,54434,0.8615837540955065
Oregon,2018,69165,1.094746672153722
Pennsylvania,2018,64524,1.0212887193529496
Rhode Island,2018,62266,0.9855489957106001
South Carolina,2018,57444,0.9092261669225534
South Dakota,2018,59463,0.9411829880181706
Tennessee,2018,56060,0.887320153848589
Texas,2018,59785,0.9462796182275757
Utah,2018,77067,1.2198198768578168
Vermont,2018,70066,1.109007739913579
Virginia,2018,77151,1.221149432564618
Washington,2018,79726,1.2619066461957296
West Virginia,2018,50573,0.8004716757150319
Wisconsin,2018,62629,0.9912945757292771
Wyoming,2018,62539,0.9898700517577043
United States,2017,61372,1.0
Alabama,2017,51113,0.8328390797106172
Alaska,2017,72231,1.1769373655738773
Arizona,2017,61125,0.9959753633578831
Arkansas,2017,48829,0.7956234113276413
California,2017,69759,1.1366584110017597
Colorado,2017,74172,1.2085641660692172
Connecticut,2017,72780,1.1858828130091899
Delaware,2017,62318,1.0154141953985532
D.C.,2017,83382,1.3586326011862087
Florida,2017,53681,0.8746822655282539
Georgia,2017,57016,0.9290230072345695
Hawaii,2017,73575,1.1988366030111453
Idaho,2017,60208,0.9810336961480806
Illinois,2017,64609,1.052743922309848
Indiana,2017,58873,0.9592811053900802
Iowa,2017,63481,1.0343642051749984
Kansas,2017,57872,0.9429707358404484
Kentucky,2017,51348,0.8366681874470443
Louisiana,2017,43903,0.7153587955419409
Maine,2017,51664,0.8418171152968781
Maryland,2017,81084,1.3211888157465945
Massachusetts,2017,73227,1.1931662647461383
Michigan,2017,57700,0.9401681548588933
Minnesota,2017,71920,1.1718699081014143
Mississippi,2017,43441,0.7078309326728801
Missouri,2017,56885,0.9268884833474549
Montana,2017,59087,0.9627680375415499
Nebraska,2017,59619,0.9714364856938017
Nevada,2017,56550,0.9214299680636121
New Hampshire,2017,74801,1.2188131395424624
New Jersey,2017,72997,1.1894186273870822
New Mexico,2017,47855,0.7797529818158118
New York,2017,62447,1.0175161311347194
North Carolina,2017,50343,0.8202926415955158
North Dakota,2017,59886,0.9757870038454018
Ohio,2017,59768,0.9738643029394513
Oklahoma,2017,55006,0.8962719155315128
Oregon,2017,64610,1.0527602163853222
Pennsylvania,2017,63173,1.0293456299289578
Rhode Island,2017,66390,1.0817636707293228
South Carolina,2017,54971,0.8957016228899172
South Dakota,2017,56894,0.9270351300267223
Tennessee,2017,55240,0.9000847291924656
Texas,2017,59295,0.9661572052401747
Utah,2017,71319,1.1620771687414455
Vermont,2017,63805,1.0396434856286254
Virginia,2017,71293,1.1616535227791176
Washington,2017,75418,1.2288665841100177
West Virginia,2017,45392,0.7396206739229616
Wisconsin,2017,63451,1.0338753829107736
Wyoming,2017,57837,0.9424004431988529
United States,2016,59039,1.0
Alabama,2016,47221,0.7998272328460848
Alaska,2016,75723,1.2825928623452294
Arizona,2016,57100,0.9671573027998441
Arkansas,2016,45907,0.777570758312302
California,2016,66637,1.1286945917105642
Colorado,2016,70566,1.195243821880452
Connecticut,2016,75923,1.285980453598469
Delaware,2016,58046,0.9831806094276665
D.C.,2016,70982,1.2022900116871897
Florida,2016,51176,0.8668168498788936
Georgia,2016,53527,0.9066379850607226
Hawaii,2016,72133,1.2217855993495825
Idaho,2016,56564,0.9580785582411626
Illinois,2016,61386,1.0397533833567643
Indiana,2016,56094,0.9501177187960501
Iowa,2016,59094,1.0009315875946407
Kansas,2016,56810,0.962245295482647
Kentucky,2016,45369,0.7684581378410881
Louisiana,2016,42196,0.7147140026084453
Maine,2016,50856,0.8613967038737106
Maryland,2016,73760,1.249343654194685
Massachusetts,2016,72266,1.2240383475329866
Michigan,2016,57091,0.9670048611934484
Minnesota,2016,70218,1.1893494130998155
Mississippi,2016,41099,0.6961330645844273
Missouri,2016,55016,0.9318586019410898
Montana,2016,57075,0.9667338538931892
Nebraska,2016,59374,1.005674215349176
Nevada,2016,55431,0.9388878537915615
New Hampshire,2016,76260,1.2916885448601771
New Jersey,2016,68468,1.1597079896339708
New Mexico,2016,48451,0.820660919053507
New York,2016,61437,1.0406172191263403
North Carolina,2016,53764,0.9106522806958113
North Dakota,2016,60184,1.0193939599247954
Ohio,2016,53985,0.9143955690306408
Oklahoma,2016,50943,0.8628703060688697
Oregon,2016,59135,1.001626043801555
Pennsylvania,2016,60979,1.032859635156422
Rhode Island,2016,61528,1.0421585731465641
South Carolina,2016,54336,0.9203407916800759
South Dakota,2016,57450,0.9730855874930131
Tennessee,2016,51344,0.8696624265316147
Texas,2016,58146,0.9848744050542861
Utah,2016,67481,1.1429902267992345
Vermont,2016,60837,1.030454445366622
Virginia,2016,66451,1.1255441318450516
Washington,2016,70310,1.1909077050763055
West Virginia,2016,44354,0.7512661122308982
Wisconsin,2016,59817,1.0131777299751012
Wyoming,2016,57829,0.9795050729179017
United States,2015,56516,1.0
Alabama,2015,44509,0.7875468893764598
Alaska,2015,75112,1.3290395640172694
Arizona,2015,52248,0.924481562743294
Arkansas,2015,42798,0.7572722768773444
California,2015,63636,1.1259820227900064
Colorado,2015,66596,1.1783565715903461
Connecticut,2015,72889,1.2897055701040414
Delaware,2015,57756,1.0219406893623044
D.C.,2015,70071,1.239843584117772
Florida,2015,48825,0.8639146436407389
Georgia,2015,50768,0.8982942883431241
Hawaii,2015,64514,1.1415174463868638
Idaho,2015,51624,0.913440441644844
Illinois,2015,60413,1.0689539245523392
Indiana,2015,51983,0.9197926250973176
Iowa,2015,60855,1.0767747186637413
Kansas,2015,54865,0.970787033760351
Kentucky,2015,42387,0.75
Louisiana,2015,45922,0.8125486587868922
Maine,2015,50756,0.8980819590912308
Maryland,2015,73594,1.302179913652771
Massachusetts,2015,67861,1.2007396135607615
Michigan,2015,54203,0.9590735366975723
Minnesota,2015,68730,1.2161157902186992
Mississippi,2015,40037,0.7084188548375682
Missouri,2015,59196,1.0474201995894967
Montana,2015,51395,0.9093884917545474
Nebraska,2015,60474,1.07003326491613
Nevada,2015,52008,0.9202349777054285
New Hampshire,2015,75675,1.3390013447519287
New Jersey,2015,68357,1.2095158893056834
New Mexico,2015,45119,0.7983402930143676
New York,2015,58005,1.0263465213390899
North Carolina,2015,50797,0.8988074173685328
North Dakota,2015,57415,1.0159069997876709
Ohio,2015,53301,0.9431134545969283
Oklahoma,2015,47077,0.8329853492816194
Oregon,2015,60834,1.0764031424729281
Pennsylvania,2015,60389,1.0685292660485526
Rhode Island,2015,55701,0.9855793049755821
South Carolina,2015,46360,0.8202986764809965
South Dakota,2015,55065,0.9743258546252389
Tennessee,2015,47330,0.8374619576757024
Texas,2015,56473,0.9992391535140491
Utah,2015,66258,1.1723759643286857
Vermont,2015,59494,1.0526930426781795
Virginia,2015,61486,1.0879396984924623
Washington,2015,67243,1.189804657088258
West Virginia,2015,42824,0.7577323235897799
Wisconsin,2015,55425,0.980695732182037
Wyoming,2015,60925,1.078013305966452
United States,2014,53657,1.0
Alabama,2014,42278,0.7879307452895242
Alaska,2014,67629,1.2603947294854352
Arizona,2014,49254,0.9179417410589485
Arkansas,2014,44922,0.8372067018282796
California,2014,60487,1.1272900087593418
Colorado,2014,60940,1.1357325232495294
Connecticut,2014,70161,1.3075833535233055
Delaware,2014,57522,1.0720316081778705
D.C.,2014,68277,1.2724714389548428
Florida,2014,46140,0.8599064427754067
Georgia,2014,49555,0.9235514471550776
Hawaii,2014,71223,1.3273757384870566
Idaho,2014,53438,0.9959185194848762
Illinois,2014,54916,1.0234638537376297
Indiana,2014,48060,0.8956892856477253
Iowa,2014,57810,1.0773990346087183
Kansas,2014,53444,0.9960303408688521
Kentucky,2014,42786,0.7973982891328252
Louisiana,2014,42406,0.7903162681476787
Maine,2014,51710,0.9637139608997894
Maryland,2014,76165,1.4194792850886184
Massachusetts,2014,63151,1.1769387032446839
Michigan,2014,52005,0.9692118456119425
Minnesota,2014,67244,1.2532195240136421
Mississippi,2014,35521,0.6620012300352237
Missouri,2014,56630,1.0554074957601058
Montana,2014,51102,0.9523827273235552
Nebraska,2014,56870,1.0598803511191457
Nevada,2014,49875,0.9295152543004641
New Hampshire,2014,73397,1.3678923532810259
New Jersey,2014,65243,1.2159270924576477
New Mexico,2014,46686,0.8700821887172223
New York,2014,54310,1.0121698939560542
North Carolina,2014,46784,0.8719086046554969
North Dakota,2014,60730,1.1318187748103696
Ohio,2014,49644,0.9252101310173882
Oklahoma,2014,47199,0.87964291704717
Oregon,2014,58875,1.0972473302644576
Pennsylvania,2014,55173,1.0282535363512681
Rhode Island,2014,58633,1.092737201110759
South Carolina,2014,44929,0.8373371601095849
South Dakota,2014,53053,0.9887433140130831
Tennessee,2014,43716,0.8147306036491045
Texas,2014,53875,1.0040628436177945
Utah,2014,63383,1.181262463425089
Vermont,2014,60708,1.1314087630691243
Virginia,2014,66155,1.232923942821999
Washington,2014,59068,1.1008442514490189
West Virginia,2014,39552,0.7371265631697635
Wisconsin,2014,58080,1.0824309968876382
Wyoming,2014,55690,1.0378888122705332
United States,2013,53585,1.0
Alabama,2013,47320,0.8830829523187459
Alaska,2013,72472,1.3524680414295045
Arizona,2013,52611,0.9818232714379024
Arkansas,2013,39376,0.7348325090976953
California,2013,60794,1.1345339180740879
Colorado,2013,67912,1.267369599701409
Connecticut,2013,69291,1.2931044135485676
Delaware,2013,54091,1.0094429411215826
D.C.,2013,60057,1.1207800690491743
Florida,2013,48532,0.9057012223570029
Georgia,2013,46992,0.8769618363347952
Hawaii,2013,64235,1.1987496500886443
Idaho,2013,48467,0.904488196323598
Illinois,2013,53937,1.0065690025193617
Indiana,2013,49455,0.9229261920313521
Iowa,2013,60156,1.1226276010077447
Kansas,2013,47820,0.8924139218064757
Kentucky,2013,44879,0.8375291592796491
Louisiana,2013,46425,0.8663805169357096
Maine,2013,54957,1.0256041802743305
Maryland,2013,69353,1.294261453765046
Massachusetts,2013,62529,1.1669123821965102
Michigan,2013,56567,1.0556499020248205
Minnesota,2013,64324,1.2004105626574602
Mississippi,2013,32338,0.6034897825884109
Missouri,2013,46303,0.8641037603807036
Montana,2013,43201,0.8062144256788281
Nebraska,2013,57623,1.0753569095829056
Nevada,2013,51846,0.9675468881216759
New Hampshire,2013,69099,1.2895213212652794
New Jersey,2013,63754,1.1897732574414481
New Mexico,2013,40166,0.7495754408883083
New York,2013,49966,0.9324624428478119
North Carolina,2013,46337,0.8647382663058691
North Dakota,2013,59152,1.1038910142763834
Ohio,2013,50748,0.9470560791266213
Oklahoma,2013,46162,0.8614724269851638
Oregon,2013,48999,0.9144163478585425
Pennsylvania,2013,55156,1.029317906130447
Rhode Island,2013,56323,1.0510963889148082
South Carolina,2013,43563,0.8129700475879443
South Dakota,2013,53413,0.996790146496221
Tennessee,2013,43361,0.8092003359149016
Texas,2013,51406,0.9593356349724736
Utah,2013,61047,1.139255388634879
Vermont,2013,65513,1.2225996080992816
Virginia,2013,65907,1.2299524120556127
Washington,2013,63922,1.1929084631893254
West Virginia,2013,43069,0.8037510497340674
Wisconsin,2013,51726,0.9653074554446207
Wyoming,2013,67441,1.2585798264439676
United States,2012,51017,1.0
Alabama,2012,43464,0.8519513103475312
Alaska,2012,63648,1.2475841386204598
Arizona,2012,47044,0.9221239978830585
Arkansas,2012,39018,0.7648038888997785
California,2012,57020,1.1176666601328968
Colorado,2012,57255,1.1222729678342513
Connecticut,2012,64247,1.2593253229315717
Delaware,2012,48972,0.9599153223435325
D.C.,2012,65246,1.2789070309896702
Florida,2012,46071,0.9030519238685144
Georgia,2012,48121,0.9432346080718192
Hawaii,2012,56263,1.1028284689417254
Idaho,2012,47922,0.9393339475076935
Illinois,2012,51738,1.0141325440539428
Indiana,2012,46158,0.9047572377834839
Iowa,2012,53442,1.0475331752161043
Kansas,2012,50003,0.9801242723013898
Kentucky,2012,41086,0.8053393966716976
Louisiana,2012,39085,0.7661171766273988
Maine,2012,49158,0.9635611658858811
Maryland,2012,71836,1.4080796597212695
Massachusetts,2012,63656,1.2477409490953997
Michigan,2012,50015,0.9803594880137994
Minnesota,2012,61795,1.2112629123625458
Mississippi,2012,36641,0.7182115765333125
Missouri,2012,49764,0.9754395593625654
Montana,2012,45088,0.8837838367602956
Nebraska,2012,52196,1.0231099437442421
Nevada,2012,47333,0.9277887762902561
New Hampshire,2012,67819,1.3293411999921594
New Jersey,2012,66692,1.3072505243350256
New Mexico,2012,43424,0.8511672579728325
New York,2012,47680,0.9345904306407669
North Carolina,2012,41553,0.8144932081463042
North Dakota,2012,55766,1.0930866181860948
Ohio,2012,44375,0.8698081031812925
Oklahoma,2012,48407,0.9488405825509144
Oregon,2012,51775,1.014857792500539
Pennsylvania,2012,51904,1.017386361408942
Rhode Island,2012,56065,1.0989474096869671
South Carolina,2012,44401,0.8703177372248466
South Dakota,2012,49415,0.9685987023933199
Tennessee,2012,42995,0.8427582962541897
Texas,2012,51926,1.0178175902150264
Utah,2012,58341,1.1435599898073192
Vermont,2012,55582,1.089479977262481
Virginia,2012,64632,1.2668718270380461
Washington,2012,62187,1.2189466256345924
West Virginia,2012,43553,0.8536958268812357
Wisconsin,2012,53079,1.0404178999157143
Wyoming,2012,57512,1.12731050434169
United States,2011,50054,1.0
Alabama,2011,42590,0.8508810484676549
Alaska,2011,57431,1.1473808287049987
Arizona,2011,48621,0.9713709194070403
Arkansas,2011,41302,0.8251488392536062
California,2011,53367,1.0661885164022855
Colorado,2011,58629,1.1713149798217926
Connecticut,2011,65415,1.3068885603548168
Delaware,2011,54660,1.0920206177328484
D.C.,2011,55251,1.1038278659048228
Florida,2011,45105,0.9011267830742797
Georgia,2011,45973,0.9184680545011388
Hawaii,2011,59047,1.1796659607623767
Idaho,2011,47459,0.9481559915291485
Illinois,2011,50637,1.0116474207855517
Indiana,2011,44445,0.8879410236944101
Iowa,2011,50219,1.0032964398449675
Kansas,2011,46147,0.9219443001558317
Kentucky,2011,39856,0.7962600391577097
Louisiana,2011,40658,0.8122827346465817
Maine,2011,49693,0.9927877891876773
Maryland,2011,68876,1.3760338834059216
Massachusetts,2011,63313,1.264893914572262
Michigan,2011,48879,0.9765253526191713
Minnesota,2011,57820,1.1551524353698006
Mississippi,2011,41090,0.8209134135134055
Missouri,2011,45774,0.914492348263875
Montana,2011,40277,0.8046709553682023
Nebraska,2011,55616,1.1111199904103568
Nevada,2011,47043,0.93984496743517
New Hampshire,2011,65880,1.316178527190634
New Jersey,2011,62338,1.245414951852
New Mexico,2011,41982,0.8387341670995325
New York,2011,50636,1.0116274423622487
North Carolina,2011,45206,0.9031446038278659
North Dakota,2011,56361,1.1260039157709674
Ohio,2011,44648,0.8919966436248852
Oklahoma,2011,48455,0.9680545011387701
Oregon,2011,51526,1.02940823910177
Pennsylvania,2011,49910,0.9971231070443921
Rhode Island,2011,49033,0.9796020298078075
South Carolina,2011,40084,0.8008151196707556
South Dakota,2011,47223,0.9434410836296799
Tennessee,2011,42279,0.8446677588204738
Texas,2011,49047,0.9798817277340472
Utah,2011,55493,1.1086626443441083
Vermont,2011,51862,1.036120989331522
Virginia,2011,62616,1.2509689535301873
Washington,2011,56850,1.1357733647660526
West Virginia,2011,41821,0.8355176409477764
Wisconsin,2011,52058,1.0400367602988771
Wyoming,2011,54509,1.0890038758141207
United States,2010,49276,1.0
Alabama,2010,40933,0.8306883675623021
Alaska,2010,57848,1.173958925237438
Arizona,2010,46896,0.9517006250507346
Arkansas,2010,38587,0.7830789836837405
California,2010,54283,1.1016113320886436
Colorado,2010,60233,1.222359769461807
Connecticut,2010,65998,1.339353843656141
Delaware,2010,55214,1.120504911112915
D.C.,2010,56928,1.1552885786183944
Florida,2010,44066,0.8942690153421544
Georgia,2010,44117,0.8953040019482101
Hawaii,2010,59539,1.2082758340774413
Idaho,2010,47050,0.9548258787239224
Illinois,2010,50728,1.029466677490056
Indiana,2010,46139,0.9363381768000649
Iowa,2010,49016,0.994723597694618
Kansas,2010,46054,0.9346131991233054
Kentucky,2010,41104,0.8341586167708418
Louisiana,2010,39300,0.7975485023134995
Maine,2010,47931,0.9727047649971589
Maryland,2010,64201,1.3028857861839436
Massachusetts,2010,60934,1.2365857618313174
Michigan,2010,46276,0.9391184349379008
Minnesota,2010,52321,1.0617947885380308
Mississippi,2010,38160,0.7744135075899018
Missouri,2010,45817,0.9298035554833997
Montana,2010,41280,0.8377303352544849
Nebraska,2010,52504,1.0655085640068187
Nevada,2010,51200,1.0390453770598262
New Hampshire,2010,66633,1.3522404415942852
New Jersey,2010,62968,1.2778634629434207
New Mexico,2010,45134,0.9159428525042617
New York,2010,49781,1.0102483967854534
North Carolina,2010,43830,0.8894796655572692
North Dakota,2010,51006,1.0351083691858105
Ohio,2010,45886,0.9312038314798279
Oklahoma,2010,43103,0.8747260329572205
Oregon,2010,50602,1.0269096517574479
Pennsylvania,2010,48314,0.9804773114700869
Rhode Island,2010,51623,1.0476296777335823
South Carolina,2010,41698,0.8462131666531374
South Dakota,2010,45352,0.9203669128987743
Tennessee,2010,38591,0.7831601591038234
Texas,2010,47266,0.9592093514083936
Utah,2010,56701,1.1506818735286954
Vermont,2010,55928,1.1349947235976947
Virginia,2010,60367,1.2250791460345807
Washington,2010,56163,1.139763779527559
West Virginia,2010,42777,0.8681102362204725
Wisconsin,2010,50351,1.0218158941472522
Wyoming,2010,52201,1.0593595259355466
United States,2009,49777,1.0
Alabama,2009,39980,0.8031821925789019
Alaska,2009,61604,1.2375996946380858
Arizona,2009,45739,0.9188781967575386
Arkansas,2009,36538,0.7340337907065512
California,2009,56134,1.127709584747976
Colorado,2009,55930,1.1236113064266628
Connecticut,2009,64851,1.302830624585652
Delaware,2009,52114,1.0469493942985717
D.C.,2009,53141,1.0675814131024368
Florida,2009,45631,0.9167085199991964
Georgia,2009,43340,0.8706832472828816
Hawaii,2009,55649,1.1179661289350504
Idaho,2009,46778,0.9397512907567752
Illinois,2009,52870,1.062137131606967
Indiana,2009,44305,0.8900697109106616
Iowa,2009,50721,1.01896458203588
Kansas,2009,44717,0.8983466259517447
Kentucky,2009,42664,0.8571026779436286
Louisiana,2009,45433,0.912730779275569
Maine,2009,47502,0.9542961608775137
Maryland,2009,64186,1.289471040842156
Massachusetts,2009,59373,1.1927797978986279
Michigan,2009,45994,0.92400104465918
Minnesota,2009,56090,1.1268256423649476
Mississippi,2009,35078,0.7047029752697028
Missouri,2009,48769,0.9797496835888061
Montana,2009,40437,0.8123631396026277
Nebraska,2009,49595,0.9963436928702011
Nevada,2009,51434,1.0332884665608615
New Hampshire,2009,64131,1.2883661128633705
New Jersey,2009,64777,1.3013439942141953
New Mexico,2009,43542,0.8747413464049661
New York,2009,50216,1.0088193342306688
North Carolina,2009,41906,0.8418747614360046
North Dakota,2009,50075,1.0059867006850554
Ohio,2009,45879,0.9216907407035377
